Model accuracy on 76247 test images: 47.37%
Category                                                                                            - Accuracy
                                                                                                  0 - 22.9
                                                                                                  1 - 44.7
                                                                                                  2 - 9.2
                                                                                                  3 - 26.7
                                                                                                  4 - 23.9
                                                                                                  5 - 44.8
                                                                                                  6 - 74.2
                                                                                                  7 - 28.3
                                                                                                  8 - 75.8
                                                                                                  9 - 11.8
                                                                                                 10 - 38.5
                                                                                                 11 - 23.2
                                                                                                 12 - 27.3
                                                                                                 13 - 28.7
                                                                                                 14 - 43.7
                                                                                                 15 - 19.8
                                                                                                 16 - 42.1
                                                                                                 17 - 33.5
                                                                                                 18 - 29.5
                                                                                                 19 - 21.2
                                                                                                 20 - 33.7
                                                                                                 21 - 24.7
                                                                                                 22 - 58.2
                                                                                                 23 - 33.3
                                                                                                 24 - 40.0
                                                                                                 25 - 36.0
                                                                                                 26 - 19.0
                                                                                                 27 - 45.1
                                                                                                 28 - 47.5
                                                                                                 29 - 53.4
                                                                                                 30 - 27.1
                                                                                                 31 - 27.7
                                                                                                 32 - 10.9
                                                                                                 33 - 31.0
                                                                                                 34 - 50.0
                                                                                                 35 - 20.7
                                                                                                 36 - 12.7
                                                                                                 37 - 23.8
                                                                                                 38 - 43.2
                                                                                                 39 - 36.0
                                                                                                 40 - 22.6
                                                                                                 41 - 68.5
                                                                                                 42 - 58.6
                                                                                                 43 - 35.2
                                                                                                 44 - 38.6
                                                                                                 45 - 13.7
                                                                                                 46 - 71.8
                                                                                                 47 - 26.1
                                                                                                 48 - 56.0
                                                                                                 49 - 51.5
                                                                                                 50 - 7.0
                                                                                                 51 - 42.5
                                                                                                 52 - 53.4
                                                                                                 53 - 34.2
                                                                                                 54 - 66.9
                                                                                                 55 - 33.7
                                                                                                 56 - 17.2
                                                                                                 57 - 17.7
                                                                                                 58 - 27.2
                                                                                                 59 - 14.6
                                                                                                 60 - 16.3
                                                                                                 61 - 9.8
                                                                                                 62 - 29.9
                                                                                                 63 - 63.5
                                                                                                 64 - 39.0
                                                                                                 65 - 63.0
                                                                                                 66 - 52.9
                                                                                                 67 - 39.9
                                                                                                 68 - 39.9
                                                                                                 69 - 37.0
                                                                                                 70 - 70.5
                                                                                                 71 - 52.5
                                                                                                 72 - 31.8
                                                                                                 73 - 57.0
                                                                                                 74 - 32.2
                                                                                                 75 - 17.0
                                                                                                 76 - 45.2
                                                                                                 77 - 45.4
                                                                                                 78 - 24.5
                                                                                                 79 - 41.4
                                                                                                 80 - 51.1
                                                                                                 81 - 25.4
                                                                                                 82 - 29.1
                                                                                                 83 - 33.5
                                                                                                 84 - 41.2
                                                                                                 85 - 20.6
                                                                                                 86 - 32.6
                                                                                                 87 - 27.1
                                                                                                 88 - 40.8
                                                                                                 89 - 33.1
                                                                                                 90 - 24.8
                                                                                                 91 - 61.5
                                                                                                 92 - 36.0
                                                                                                 93 - 51.2
                                                                                                 94 - 36.0
                                                                                                 95 - 14.6
                                                                                                 96 - 20.2
                                                                                                 97 - 9.9
                                                                                                 98 - 35.4
