Model accuracy on 76247 test images: 71.09%
Category                                                                                            - Accuracy
                                                                                                  0 - 46.3
                                                                                                  1 - 70.2
                                                                                                  2 - 40.7
                                                                                                  3 - 42.1
                                                                                                  4 - 54.9
                                                                                                  5 - 63.4
                                                                                                  6 - 91.0
                                                                                                  7 - 52.0
                                                                                                  8 - 89.5
                                                                                                  9 - 30.7
                                                                                                 10 - 64.2
                                                                                                 11 - 62.5
                                                                                                 12 - 61.6
                                                                                                 13 - 61.2
                                                                                                 14 - 63.6
                                                                                                 15 - 47.1
                                                                                                 16 - 68.1
                                                                                                 17 - 54.1
                                                                                                 18 - 52.3
                                                                                                 19 - 56.4
                                                                                                 20 - 51.7
                                                                                                 21 - 57.9
                                                                                                 22 - 79.0
                                                                                                 23 - 52.4
                                                                                                 24 - 69.5
                                                                                                 25 - 69.1
                                                                                                 26 - 42.1
                                                                                                 27 - 62.7
                                                                                                 28 - 74.2
                                                                                                 29 - 70.8
                                                                                                 30 - 55.6
                                                                                                 31 - 47.4
                                                                                                 32 - 28.1
                                                                                                 33 - 49.2
                                                                                                 34 - 72.6
                                                                                                 35 - 45.7
                                                                                                 36 - 40.5
                                                                                                 37 - 51.5
                                                                                                 38 - 70.1
                                                                                                 39 - 57.9
                                                                                                 40 - 43.9
                                                                                                 41 - 85.3
                                                                                                 42 - 78.8
                                                                                                 43 - 58.8
                                                                                                 44 - 64.1
                                                                                                 45 - 42.2
                                                                                                 46 - 85.0
                                                                                                 47 - 47.1
                                                                                                 48 - 87.4
                                                                                                 49 - 68.5
                                                                                                 50 - 31.9
                                                                                                 51 - 67.8
                                                                                                 52 - 80.5
                                                                                                 53 - 64.3
                                                                                                 54 - 84.0
                                                                                                 55 - 58.6
                                                                                                 56 - 38.9
                                                                                                 57 - 35.0
                                                                                                 58 - 56.4
                                                                                                 59 - 42.3
                                                                                                 60 - 51.2
                                                                                                 61 - 30.2
                                                                                                 62 - 56.4
                                                                                                 63 - 79.3
                                                                                                 64 - 61.0
                                                                                                 65 - 83.1
                                                                                                 66 - 76.0
                                                                                                 67 - 61.4
                                                                                                 68 - 62.0
                                                                                                 69 - 74.5
                                                                                                 70 - 85.6
                                                                                                 71 - 79.1
                                                                                                 72 - 59.0
                                                                                                 73 - 82.7
                                                                                                 74 - 56.0
                                                                                                 75 - 48.9
                                                                                                 76 - 75.4
                                                                                                 77 - 70.1
                                                                                                 78 - 57.9
                                                                                                 79 - 46.9
                                                                                                 80 - 73.3
                                                                                                 81 - 47.1
                                                                                                 82 - 59.2
                                                                                                 83 - 62.8
                                                                                                 84 - 62.8
                                                                                                 85 - 53.4
                                                                                                 86 - 55.4
                                                                                                 87 - 60.9
                                                                                                 88 - 75.1
                                                                                                 89 - 55.1
                                                                                                 90 - 52.5
                                                                                                 91 - 73.6
                                                                                                 92 - 74.6
                                                                                                 93 - 66.8
                                                                                                 94 - 64.4
                                                                                                 95 - 35.6
                                                                                                 96 - 44.7
                                                                                                 97 - 27.3
                                                                                                 98 - 54.0
